Utterance, Recognition, Corrections, Correct
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a turn block,pattern block,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
get a turn block,go to turn block,get a turn block,TRUE
get a repeat block,go to repeat block,get a repeat block,TRUE
get a repeat block,get a repeat block,get a repeat block,TRUE
get a repeat block,get a repeat block,get a repeat block,TRUE
get a repeat block,get a repeat block,get a repeat block,TRUE
get a repeat block,get repeat block,get a repeat block,TRUE
connect block 3 under block 2,connect block 3 under block 2,connect block 3 under block 2,TRUE
connect block 3 under block 2,connect block 300 block 2,connect block 3 under block 2,TRUE
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1,TRUE
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1,TRUE
connect block 3 under block 2,connect block 300 block 2,connect block 3 under block 2,TRUE
connect block 3 under block 2,connect block 300 block 2,connect block 3 under block 2,TRUE
connect block 4 under block 3,connect block 400 block 3,connect block 4 under block 3,TRUE
connect block 4 under block 3,connect block 400 block 3,connect block 4 under block 3,TRUE
change 4 in block 1 to 5,4 + block 1 to 5,change 4 in block 1 to 5,TRUE
change 4 in block 1 to 3,change 4 in block 1 2 3,change 4 in block 1 to 3,TRUE
change right in block 6 to left,change right and block 6 to left,change right in block 6 to left,TRUE
change right in block 6 to left,change white and block 6 to left,change right in block 6 to left,TRUE
change left in block 6 to right,change left in block 6 to write,change left in block 6 to right,TRUE
connect block 2 inside block 1,connect to inside block 1,connect block 2 inside block 1,TRUE
connect block 2 inside block 1,connect to inside block 1,connect block 2 inside block 1,TRUE
connect block 2 inside block 1,connect block 2 inside block 1,connect block 2 inside block 1,TRUE
connect block 3 inside block 1,connect block 3 inside block 1,connect block 2 inside block 1,FALSE
connect block 5 under block 2,connect block 5 under plus 2,connect block 5 under block 2,TRUE
connect block 5 under block 2,connect block 500 block 2,connect block 5 under block 2,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a repeat block,get a repeat block,get a repeat block,TRUE
get a repeat block,get a repeat block,get a repeat block,TRUE
get a repeat block,get a repeat block,get a repeat block,TRUE
get a turn block,pattern block,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
get a turn block,turn block,get a turn block,TRUE
get a pen block,get up and block,get a pen block,TRUE
get a pen block,get up and block,get a pen block,TRUE
get a pen block,get up and block,get a pen block,TRUE
get a pen block,get a pen block,get a pen block,TRUE
get a color block,get a color block,get a color block,TRUE
get a color block,get a color block,get a color block,TRUE
get a color block,get a color block,get a color block,TRUE
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1,TRUE
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1,TRUE
connect block 4 under block 3,connect block 4 under block 3,connect block 4 under block 3,TRUE
connect block 2 inside block 4,connect block 2 in sidewalk 4,connect block 2 inside block 4,TRUE
connect block 2 inside block 4,connect block 2 inside block 4,connect block 2 inside block 4,TRUE
connect block 1 inside block 3,connect block 1 in sidewalk 3,connect block 1 inside block 2,FALSE
connect block 2 inside block 4,connect block 2 inside block 4,connect block 2 inside block 4,TRUE
change 4 in block 4 to 5,change 4 + block 4 to 5,change 4 in block 4 to 5,TRUE
change 4 in block 4 to 5,change foreign block 4 to 5,change 4 in block 4 to 5,TRUE
change 4 in block 4 to 5,change 4 in block 4 to 5,change 4 in block 4 to 5,TRUE
change 5 in block 4 to 6,change 5 + block ford to 6,change 5 in block 4 to 2,FALSE
change right in block 5 to left,write in block 52 lot,change right in block 5 to left,TRUE
change right in block 5 to left,change your right and block 5 to left,change right in block 5 to left,TRUE
change right in block 5 to left,change right in block 5 to laugh,change right in block 5 to left,TRUE
change right in block 5 to left,change right in block 5 to left,change right in block 5 to left,TRUE
change 90 in block 6 to 120,change 90 in block 6-2 120,change 90 in block 6 to 120,TRUE
change 90 in block 6 to 120,change 90 in box 6 to 1:20,change 90 in block 6 to 120,TRUE
change 90 in block 6 to 120,change 90 in lakhs 6 to 1:20,change 90 in block 6 to 120,TRUE
change 90 in block 6 to 120,change 90 in block 6 to 1:20,change 90 in block 6 to 120,TRUE
change 90 in block 6 to 120,change 90 in lakhs 6 to 1:20,change 90 in block 6 to 120,TRUE
delete block 2,delete block 2,delete block 2,TRUE
delete block 1,delete block 1,delete block 1,TRUE
delete block 4,delete block war,delete block 4,TRUE
delete block 3,delete block 3,delete block 3,TRUE
get a pen block,get up and block,get a pen block,TRUE
get a pen block,get up and block,get a pen block,TRUE
get a pen block,get a pen block,get a pen block,TRUE
change up in block 5 to down,change a pin block 5 to down,change up in block 5 to down,TRUE
change up in block 5 to down,change up in block 5 to down,change up in block 5 to down,TRUE
change up in block 5 to down,change a pin block 5 to down,change up in block 5 to down,TRUE
run the program,run the program,run the program,TRUE
run the program,run the program,run the program,TRUE
get a move block,move block,get a move block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
delete block 2,delete block 2,delete block 2,TRUE
run the program,run the program,run the program,TRUE
stay on this level,stay on this level,stay on this level,TRUE
go to the next level,level,go to the next level,TRUE
get a move block,get a move block,get a move block,TRUE
get a turn block,greta turn block,get a turn block,TRUE
get a turn block,pattern block,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
run the program,run the program,run the program,TRUE
get a move block,get a move block,get a move block,TRUE
connect block 2 under block 1,text block 2 under block 1,connect block 2 under block 1,TRUE
connect block 2 under block 1,connect loc to under block 1,connect block 2 under block 1,TRUE
connect block 2 under block 1,connect block 2 under block 1,connect block 2 under block 1,TRUE
connect block 3 under block 2,connect block 3 under blog to,connect block 3 under block 2,TRUE
connect block 3 under block 2,connect block 3 under blog to,connect block 3 under block 2,TRUE
connect block 3 under block 2,k'nex block 3 under blocks 2,connect block 3 under block 2,TRUE
connect block 3 under block 2,connect block 300 block 2,connect block 3 under block 2,TRUE
connect block 3 under block 2,3 under block 2,connect block 3 under block 2,TRUE
connect block 3 under block 2,connect block 3 under blog to,connect block 3 under block 2,TRUE
connect block 3 under block 2,connect block 3-under block 2,connect block 3 under block 2,TRUE
connect block 3 under block 2,connect block 3 under block 2,connect block 3 under block 2,TRUE
run the program,run the program,run the program,TRUE
go to the next level,go to the next level,go to the next level,TRUE
get a repeat block,get a repeat block,get a repeat block,TRUE
get a move block,get a move block,get a move block,TRUE
get a turn block,pattern block,get a turn block,TRUE
get a turn block,get hr block,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
connect block 3 inside block 1,xbox 3 inside block 1,connect block 2 inside block 1,FALSE
connect block 3 inside block 1,connect block 3 inside block 1,connect block 2 inside block 1,FALSE
connect block 2 under block 3,connect block 2 under block 3,connect block 2 under block 3,TRUE
change right in block 3 to left,change right and block 3 to left,change right in block 3 to left,TRUE
change right in block 3 to left,change right in block 3 to left,change right in block 3 to left,TRUE
get a turn block,pattern block,get a turn block,TRUE
get a turn block,jetta turn block,get a turn block,TRUE
get a turn block,pattern block,get a turn block,TRUE
get a turn block,return block,get a turn block,TRUE
get a turn block,turn block,get a turn block,TRUE
get a turn block,turn block,get a turn block,TRUE
get a turn block,turn blog,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
connect block 1 under block 4,connect block 1 under block 4,connect block 1 under block 4,TRUE
run the program,run the program,run the program,TRUE
delete block 3,delete block 3,delete block 3,TRUE
get a move block,get a move block,get a move block,TRUE
connect block 5 inside block 1,text block 5 inside block 1,connect block 2 inside block 1,FALSE
connect block 5 inside block 1,connect block 5 inside block 1,connect block 2 inside block 1,FALSE
get a turn block,pattern block,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
change right in block 6 to left,change right in block 2,change right in block 6 to left,TRUE
change right in block 2 to left,change right and block 2 to left,change right in block 2 to left,TRUE
change right in block 6 to left,write in block 6 to left,change right in block 6 to left,TRUE
change right in block 6 to left,change right in block 6 to left,change right in block 6 to left,TRUE
connect block 6 under block 5,k'nex block 6 under block 5,connect block 6 under block 5,TRUE
connect block 6 under block 5,connect block 6 under block 5,connect block 6 under block 5,TRUE
run the program,the program,run the program,TRUE
run the program,run the program,run the program,TRUE
stay on this level,stay on this level,stay on this level,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a move block,get a move block,get a move block,TRUE
get a turn block,today a turn block,get a turn block,TRUE
get a turn block,get a turn clock,get a turn block,TRUE
get a turn block,get a turn block ,get a turn block,TRUE
get a turn block,get a turn block,get a turn block,TRUE
get a turn block,can you turn block,get a turn block,TRUE
